timestamp,label,metric,value
2026-03-20 00:22:13,mldsa65-mixed-run1,peer2_avg_block_proc_s,0.0010612219708910344
2026-03-20 00:22:13,mldsa65-mixed-run1,peer1_blocks_per_sec,9.44623429179148
2026-03-20 00:22:13,mldsa65-mixed-run1,peer2_blocks_per_sec,9.416145497330922
2026-03-20 01:41:25,mldsa65-mixed-run2,peer1_block_height,87837
2026-03-20 01:41:25,mldsa65-mixed-run2,peer2_block_height,87837
2026-03-20 01:41:25,mldsa65-mixed-run2,peer1_block_count,87837
2026-03-20 01:41:25,mldsa65-mixed-run2,peer2_block_count,87837
2026-03-20 01:41:25,mldsa65-mixed-run2,peer1_avg_block_proc_s,0.0010788759156246193
2026-03-20 01:41:25,mldsa65-mixed-run2,peer2_avg_block_proc_s,0.0010704866945560284
2026-03-20 01:41:25,mldsa65-mixed-run2,peer1_blocks_per_sec,9.53421403458144
2026-03-20 01:41:25,mldsa65-mixed-run2,peer2_blocks_per_sec,9.568175829367252
2026-03-20 03:01:27,mldsa65-mixed-run3,peer1_block_height,115899
2026-03-20 03:01:27,mldsa65-mixed-run3,peer2_block_height,115899
2026-03-20 03:01:27,mldsa65-mixed-run3,peer1_block_count,115899
2026-03-20 03:01:27,mldsa65-mixed-run3,peer2_block_count,115899
2026-03-20 03:01:27,mldsa65-mixed-run3,peer1_avg_block_proc_s,0.001071404652817411
2026-03-20 03:01:27,mldsa65-mixed-run3,peer2_avg_block_proc_s,0.001058119464983006
2026-03-20 03:01:27,mldsa65-mixed-run3,peer1_blocks_per_sec,9.560301878467568
2026-03-20 03:01:27,mldsa65-mixed-run3,peer2_blocks_per_sec,9.529661670827236
2026-03-20 08:59:57,mldsa44-write-run1,peer1_block_height,32278
2026-03-20 08:59:57,mldsa44-write-run1,peer2_block_height,32278
2026-03-20 08:59:57,mldsa44-write-run1,peer1_block_count,32278
2026-03-20 08:59:57,mldsa44-write-run1,peer2_block_count,32278
2026-03-20 08:59:57,mldsa44-write-run1,peer1_avg_block_proc_s,0.0010368917151439552
2026-03-20 08:59:57,mldsa44-write-run1,peer2_avg_block_proc_s,0.0010413435074980127
2026-03-20 08:59:57,mldsa44-write-run1,peer1_blocks_per_sec,17.972438655146757
2026-03-20 08:59:57,mldsa44-write-run1,peer2_blocks_per_sec,17.950332602970406
2026-03-20 09:57:24,mldsa44-write-run2,peer1_block_height,32128
2026-03-20 09:57:24,mldsa44-write-run2,peer2_block_height,32128
2026-03-20 09:57:24,mldsa44-write-run2,peer1_block_count,32128
2026-03-20 09:57:24,mldsa44-write-run2,peer2_block_count,32128
2026-03-20 09:57:24,mldsa44-write-run2,peer1_avg_block_proc_s,0.0010584501029652425
2026-03-20 09:57:24,mldsa44-write-run2,peer2_avg_block_proc_s,0.0010538679878879776
2026-03-20 09:57:24,mldsa44-write-run2,peer1_blocks_per_sec,17.86217242944966
2026-03-20 09:57:24,mldsa44-write-run2,peer2_blocks_per_sec,17.88987298633763
2026-03-20 10:49:54,mldsa44-write-run3,peer1_block_height,31662
2026-03-20 10:49:54,mldsa44-write-run3,peer2_block_height,31662
2026-03-20 10:49:54,mldsa44-write-run3,peer1_block_count,31662
2026-03-20 10:49:54,mldsa44-write-run3,peer2_block_count,31662
2026-03-20 10:49:54,mldsa44-write-run3,peer1_avg_block_proc_s,0.001030527850346086
2026-03-20 10:49:54,mldsa44-write-run3,peer2_avg_block_proc_s,0.0010329161639781002
2026-03-20 10:49:54,mldsa44-write-run3,peer1_blocks_per_sec,17.60042563092921
2026-03-20 10:49:54,mldsa44-write-run3,peer2_blocks_per_sec,17.62772432244121
2026-03-20 15:28:51,mldsa44-mixed-run1,peer1_block_height,6
2026-03-20 15:28:51,mldsa44-mixed-run1,peer2_block_height,6
2026-03-20 15:28:51,mldsa44-mixed-run1,peer1_block_count,6
2026-03-20 15:28:51,mldsa44-mixed-run1,peer2_block_count,6
2026-03-20 15:28:51,mldsa44-mixed-run1,peer1_avg_block_proc_s,0.03390793311485846
2026-03-20 15:28:51,mldsa44-mixed-run1,peer2_avg_block_proc_s,0.05958477293731698
2026-03-20 15:28:51,mldsa44-mixed-run1,peer1_blocks_per_sec,0.002825628333064858
2026-03-20 15:28:51,mldsa44-mixed-run1,peer2_blocks_per_sec,0.0016832622854609288
2026-03-20 19:45:05,mldsa44-mixed-run1,peer1_block_height,28530
2026-03-20 19:45:05,mldsa44-mixed-run1,peer2_block_height,28530
2026-03-20 19:45:05,mldsa44-mixed-run1,peer1_block_count,28530
2026-03-20 19:45:05,mldsa44-mixed-run1,peer2_block_count,28530
2026-03-20 19:45:05,mldsa44-mixed-run1,peer1_avg_block_proc_s,0.0010410979118719301
2026-03-20 19:45:05,mldsa44-mixed-run1,peer2_avg_block_proc_s,0.0010308970412669508
2026-03-20 19:45:05,mldsa44-mixed-run1,peer1_blocks_per_sec,9.779174714309828
2026-03-20 19:45:05,mldsa44-mixed-run1,peer2_blocks_per_sec,9.814260509927072
2026-03-20 21:01:50,mldsa44-mixed-run2,peer1_block_height,57114
2026-03-20 21:01:50,mldsa44-mixed-run2,peer2_block_height,57114
2026-03-20 21:01:50,mldsa44-mixed-run2,peer1_block_count,57114
2026-03-20 21:01:50,mldsa44-mixed-run2,peer2_block_count,57114
2026-03-20 21:01:50,mldsa44-mixed-run2,peer1_avg_block_proc_s,0.0010420806474611037
2026-03-20 21:01:50,mldsa44-mixed-run2,peer2_avg_block_proc_s,0.001038881819647907
2026-03-20 21:01:50,mldsa44-mixed-run2,peer1_blocks_per_sec,9.775618169825112
2026-03-20 21:01:50,mldsa44-mixed-run2,peer2_blocks_per_sec,9.744430838552539
2026-03-21 01:16:04,mldsa44-mixed-run3,peer1_block_height,85541
2026-03-21 01:16:04,mldsa44-mixed-run3,peer2_block_height,85541
2026-03-21 01:16:04,mldsa44-mixed-run3,peer1_block_count,85541
